x y1 y2
0.000000 1.258194 nan
1.000000 1.258194 nan
2.000000 1.268698 nan
3.000000 1.272103 nan
4.000000 1.264095 nan
5.000000 1.277498 nan
6.000000 1.285892 nan
7.000000 1.274096 nan
8.000000 1.278593 nan
9.000000 1.265102 nan
10.000000 1.260097 nan
11.000000 1.239803 nan
12.000000 1.235407 nan
13.000000 1.258907 nan
14.000000 1.265903 nan
15.000000 1.272508 nan
16.000000 1.258305 nan
17.000000 1.248798 nan
18.000000 1.263695 nan
19.000000 1.244199 nan
20.000000 1.241003 nan
21.000000 1.246805 nan
22.000000 1.243302 nan
23.000000 1.253494 nan
24.000000 1.253997 nan
25.000000 1.257197 nan
26.000000 1.270002 nan
27.000000 1.269406 nan
28.000000 1.268504 nan
29.000000 1.283005 nan
30.000000 1.281805 nan
31.000000 1.272799 nan
32.000000 1.276503 nan
33.000000 1.285793 nan
34.000000 1.272508 nan
35.000000 1.275705 nan
36.000000 1.254202 nan
37.000000 1.257197 nan
38.000000 1.267797 nan
39.000000 1.249703 nan
40.000000 1.244803 nan
41.000000 1.249407 nan
42.000000 1.244803 nan
43.000000 1.220405 nan
44.000000 1.219096 nan
45.000000 1.220703 nan
46.000000 1.236797 nan
47.000000 1.242607 nan
48.000000 1.231906 nan
49.000000 1.223197 nan
50.000000 1.235102 nan
51.000000 1.222404 nan
52.000000 1.227205 nan
53.000000 1.226106 nan
54.000000 1.222703 nan
55.000000 1.238896 nan
56.000000 1.226904 nan
57.000000 1.234598 nan
58.000000 1.234507 nan
59.000000 1.213902 nan
60.000000 1.213695 nan
61.000000 1.212695 nan
62.000000 1.216604 nan
63.000000 1.218502 nan
64.000000 1.231300 1.218270
65.000000 1.236507 1.218446
66.000000 1.212900 1.220024
67.000000 1.201302 1.219988
68.000000 1.213106 1.217917
69.000000 1.216604 1.216013
70.000000 1.207700 1.214760
71.000000 1.208605 1.213176
72.000000 1.207307 1.211621
73.000000 1.193802 1.210107
74.000000 1.194700 1.207515
75.000000 1.198696 1.204638
76.000000 1.200293 1.202246
77.000000 1.200696 1.200503
78.000000 1.184806 1.199307
79.000000 1.181000 1.197074
80.000000 1.192506 1.194099
81.000000 1.185003 1.192024
82.000000 1.186197 1.189989
83.000000 1.192905 1.188251
84.000000 1.184301 1.187422
85.000000 1.196001 1.186407
86.000000 1.198294 1.186389
87.000000 1.193602 1.187136
88.000000 1.210507 1.187808
89.000000 1.215894 1.189863
90.000000 1.207700 1.193008
91.000000 1.188001 1.195722
92.000000 1.184596 1.196128
93.000000 1.188199 1.194889
94.000000 1.190505 1.193214
95.000000 1.180401 1.191707
96.000000 1.188199 1.189561
97.000000 1.202501 1.187944
98.000000 1.194501 1.188058
99.000000 1.200394 1.188418
100.000000 1.195700 1.189371
101.000000 1.202805 1.190135
102.000000 1.199904 1.191340
103.000000 1.210097 1.192425
104.000000 1.211094 1.194257
105.000000 1.227596 1.196439
106.000000 1.221807 1.200119
107.000000 1.219899 1.203787
108.000000 1.224500 1.206905
109.000000 1.221896 1.209849
110.000000 1.222105 1.212198
111.000000 1.227506 1.214029
112.000000 1.231800 1.215925
113.000000 1.226106 1.218109
114.000000 1.204297 1.219733
115.000000 1.210903 1.218847
116.000000 1.201504 1.217262
117.000000 1.206200 1.214624
118.000000 1.216604 1.212113
119.000000 1.200696 1.210897
120.000000 1.203398 1.209063
121.000000 1.214506 1.207268
122.000000 1.212606 1.206679
123.000000 1.212195 1.206647
124.000000 1.208605 1.206864
125.000000 1.217404 1.206850
126.000000 1.220301 1.207501
127.000000 1.218695 1.208738
128.000000 1.209804 1.210032
129.000000 1.218398 1.210401
130.000000 1.216205 1.210999
131.000000 1.231103 1.211493
132.000000 1.229997 1.213268
133.000000 1.228501 1.215511
134.000000 1.237103 1.217648
135.000000 1.239495 1.220322
136.000000 1.241897 1.223282
137.000000 1.240803 1.226352
138.000000 1.233304 1.229091
139.000000 1.238497 1.230674
140.000000 1.235605 1.231961
141.000000 1.245594 1.232722
142.000000 1.243998 1.234092
143.000000 1.233395 1.235547
144.000000 1.226302 1.235891
145.000000 1.225595 1.234895
146.000000 1.209599 1.233203
147.000000 1.213902 1.229804
148.000000 1.206404 1.226210
149.000000 1.204398 1.222188
150.000000 1.203804 1.218133
151.000000 1.201605 1.214394
152.000000 1.202198 1.210975
153.000000 1.205298 1.208091
154.000000 1.205996 1.206041
155.000000 1.205197 1.204689
156.000000 1.230800 1.203749
157.000000 1.227295 1.205446
158.000000 1.223601 1.208148
159.000000 1.222195 1.210768
160.000000 1.223900 1.212927
161.000000 1.237593 1.214777
162.000000 1.235895 1.217575
163.000000 1.234507 1.220512
164.000000 1.234004 1.223115
165.000000 1.237195 1.225237
166.000000 1.232195 1.227202
167.000000 1.215200 1.228441
168.000000 1.208196 1.227558
169.000000 1.208605 1.224929
170.000000 1.209907 1.221669
171.000000 1.201995 1.218542
172.000000 1.204906 1.215078
173.000000 1.217804 1.212017
174.000000 1.219007 1.210658
175.000000 1.217300 1.210481
176.000000 1.205502 1.210784
177.000000 1.206593 1.210197
178.000000 1.209907 1.209234
179.000000 1.218903 1.208465
180.000000 1.224200 1.208715
181.000000 1.227295 1.210009
182.000000 1.226407 1.212039
183.000000 1.226001 1.214191
184.000000 1.215702 1.216151
185.000000 1.219007 1.216850
186.000000 1.218205 1.217086
187.000000 1.217404 1.216993
188.000000 1.232894 1.216676
189.000000 1.226693 1.217722
190.000000 1.227205 1.218874
191.000000 1.227596 1.220001
192.000000 1.230800 1.221037
193.000000 1.232104 1.222223
194.000000 1.233700 1.223514
195.000000 1.243394 1.224894
196.000000 1.241496 1.227117
197.000000 1.228999 1.229431
198.000000 1.231603 1.230376
199.000000 1.228094 1.230698
200.000000 1.229906 1.230343
201.000000 1.241003 1.229835
202.000000 1.238405 1.230374
203.000000 1.232104 1.231215
204.000000 1.234903 1.231528
205.000000 1.238896 1.231766
206.000000 1.247894 1.232331
207.000000 1.248907 1.233894
208.000000 1.251894 1.235967
209.000000 1.257893 1.238403
210.000000 1.262005 1.241378
211.000000 1.269100 1.244770
212.000000 1.281099 1.248764
213.000000 1.276503 1.253896
214.000000 1.270600 1.258724
215.000000 1.274899 1.262310
216.000000 1.279198 1.265284
217.000000 1.274600 1.268100
218.000000 1.272006 1.270129
219.000000 1.282495 1.271280
220.000000 1.287300 1.272908
221.000000 1.296697 1.275169
222.000000 1.290806 1.278518
223.000000 1.289907 1.281543
224.000000 1.288593 1.283971
225.000000 1.291005 1.285696
226.000000 1.297000 1.287127
227.000000 1.293996 1.288894
228.000000 1.296193 1.290387
229.000000 1.303798 1.291805
230.000000 1.294901 1.293831
231.000000 1.303900 1.295091
232.000000 1.304002 1.296710
233.000000 1.309706 1.298401
234.000000 1.317801 1.300551
235.000000 1.325803 1.303582
236.000000 1.329504 1.307624
237.000000 1.326506 1.312191
238.000000 1.329805 1.316248
239.000000 1.334597 1.319937
240.000000 1.326102 1.323570
241.000000 1.346602 1.325925
242.000000 1.339603 1.329508
243.000000 1.343093 1.332712
244.000000 1.334508 1.335721
245.000000 1.330406 1.337415
246.000000 1.321598 1.337788
247.000000 1.332001 1.336510
248.000000 1.330902 1.335612
249.000000 1.340393 1.334961
250.000000 1.325100 1.335527
251.000000 1.331292 1.335073
252.000000 1.339208 1.334723
253.000000 1.336898 1.335327
254.000000 1.339100 1.336151
255.000000 1.351205 1.337214
256.000000 1.353803 1.339573
257.000000 1.362398 1.342671
258.000000 1.359398 1.346727
259.000000 1.360692 1.350538
260.000000 1.362806 1.353920
261.000000 1.356502 1.356943
262.000000 1.347001 1.358786
263.000000 1.328198 1.358790
264.000000 1.328004 1.355821
265.000000 1.318305 1.351604
266.000000 1.306097 1.346229
267.000000 1.310994 1.339553
268.000000 1.311699 1.333431
269.000000 1.325592 1.328357
270.000000 1.321109 1.325825
271.000000 1.309895 1.324430
272.000000 1.305108 1.322536
273.000000 1.301795 1.319997
274.000000 1.300306 1.317015
275.000000 1.296294 1.313950
276.000000 1.299900 1.310744
277.000000 1.303900 1.308159
278.000000 1.297101 1.306590
279.000000 1.307805 1.305018
280.000000 1.304104 1.304668
281.000000 1.304495 1.304633
282.000000 1.305193 1.304779
283.000000 1.303900 1.305062
284.000000 1.303203 1.305248
285.000000 1.297202 1.305281
286.000000 1.285793 1.304606
287.000000 1.276406 1.302434
288.000000 1.276992 1.298712
289.000000 1.281296 1.294611
290.000000 1.287598 1.291201
291.000000 1.285694 1.289171
292.000000 1.297303 1.287895
293.000000 1.301693 1.288300
294.000000 1.302304 1.290015
295.000000 1.307497 1.292299
296.000000 1.306899 1.295158
297.000000 1.306404 1.297966
298.000000 1.326102 1.300396
299.000000 1.320306 1.304412
300.000000 1.318305 1.308329
301.000000 1.324609 1.311553
302.000000 1.321702 1.314722
303.000000 1.317193 1.317262
304.000000 1.313594 1.318736
305.000000 1.310599 1.319118
306.000000 1.324696 1.318586
307.000000 1.322192 1.319126
308.000000 1.335203 1.319976
309.000000 1.337703 1.322262
310.000000 1.343797 1.325360
311.000000 1.347291 1.329193
312.000000 1.336505 1.333379
313.000000 1.331009 1.336158
314.000000 1.341094 1.337278
315.000000 1.337900 1.338482
316.000000 1.332197 1.339335
317.000000 1.316101 1.339312
318.000000 1.307702 1.337124
319.000000 1.299292 1.333125
320.000000 1.293193 1.327735
321.000000 1.295605 1.321574
322.000000 1.289507 1.315925
323.000000 1.293795 1.310526
324.000000 1.291506 1.306240
325.000000 1.296697 1.302739
326.000000 1.290906 1.300513
327.000000 1.285000 1.298578
328.000000 1.285793 1.296340
329.000000 1.286703 1.294212
330.000000 1.285000 1.292444
331.000000 1.293494 1.290872
332.000000 1.297101 1.290415
333.000000 1.291506 1.290980
334.000000 1.291206 1.291451
335.000000 1.279492 1.291754
336.000000 1.287001 1.290727
337.000000 1.301795 1.289832
338.000000 1.306506 1.290645
339.000000 1.308695 1.292823
340.000000 1.304700 1.295730
341.000000 1.306199 1.298295
342.000000 1.299393 1.300539
343.000000 1.298499 1.301682
344.000000 1.292107 1.302019
345.000000 1.290506 1.301253
346.000000 1.287598 1.299821
347.000000 1.284604 1.297905
348.000000 1.288693 1.295637
349.000000 1.295001 1.293834
350.000000 1.295605 1.293127
351.000000 1.281197 1.293149
352.000000 1.285496 1.292066
353.000000 1.288693 1.290881
354.000000 1.281394 1.290105
355.000000 1.268102 1.288896
356.000000 1.261607 1.286205
357.000000 1.263999 1.282310
358.000000 1.260303 1.278414
359.000000 1.268102 1.274567
360.000000 1.263504 1.271908
361.000000 1.255698 1.269705
362.000000 1.257103 1.267155
363.000000 1.256802 1.264770
364.000000 1.259906 1.262676
365.000000 1.251392 1.261243
366.000000 1.258194 1.259462
367.000000 1.248299 1.258306
368.000000 1.230800 1.256634
369.000000 1.219602 1.253106
370.000000 1.226693 1.247807
371.000000 1.223002 1.242764
372.000000 1.226001 1.238041
373.000000 1.227898 1.234233
374.000000 1.223795 1.231460
375.000000 1.222793 1.229106
376.000000 1.213695 1.227071
377.000000 1.211798 1.224521
378.000000 1.202603 1.221724
379.000000 1.212195 1.218197
380.000000 1.209907 1.215481
381.000000 1.227898 1.213274
382.000000 1.215200 1.213204
383.000000 1.217404 1.213148
384.000000 1.212106 1.213250
385.000000 1.202906 1.212919
386.000000 1.209804 1.211514
387.000000 1.216397 1.210275
388.000000 1.207307 1.209879
389.000000 1.207802 1.209159
390.000000 1.209102 1.208348
391.000000 1.193602 1.207680
392.000000 1.190902 1.205735
393.000000 1.193104 1.203003
394.000000 1.192905 1.200307
395.000000 1.194501 1.197884
396.000000 1.198107 1.195983
397.000000 1.206899 1.194864
398.000000 1.223002 1.195062
399.000000 1.208007 1.197426
400.000000 1.209395 1.199407
401.000000 1.204602 1.201058
402.000000 1.205604 1.201921
403.000000 1.202993 1.202360
404.000000 1.215806 1.202300
405.000000 1.216101 1.203153
406.000000 1.206098 1.204493
407.000000 1.206505 1.205056
408.000000 1.201706 1.205149
409.000000 1.206695 1.204544
410.000000 1.213195 1.204073
411.000000 1.212400 1.204334
412.000000 1.218398 1.204920
413.000000 1.219393 1.206170
414.000000 1.233502 1.207764
415.000000 1.238497 1.210700
416.000000 1.236598 1.214590
417.000000 1.235102 1.218463
418.000000 1.237808 1.221801
419.000000 1.238605 1.224782
420.000000 1.247303 1.227376
421.000000 1.244493 1.230361
422.000000 1.237103 1.233042
423.000000 1.234995 1.234597
424.000000 1.227807 1.235178
425.000000 1.218398 1.234503
426.000000 1.215495 1.232326
427.000000 1.223406 1.229286
428.000000 1.223496 1.226841
429.000000 1.227401 1.225001
430.000000 1.230194 1.224030
431.000000 1.229407 1.223883
432.000000 1.223496 1.224111
433.000000 1.221807 1.223941
434.000000 1.234096 1.223385
435.000000 1.249001 1.223823
436.000000 1.253306 1.226204
437.000000 1.252693 1.229864
438.000000 1.245795 1.233806
439.000000 1.241604 1.236833
440.000000 1.239403 1.238637
